月份/地点,站点9预测,站点9实际
23.0,22.73435,35.0
41.0,56.205963,83.0
12.0,102.99008,98.0
30.0,62.625874,66.0
47.0,18.451763,24.0
22.0,30.30476,27.000002
15.0,39.449047,94.0
27.0,32.600178,203.0
28.0,98.29053,96.0
14.0,41.868652,41.0
43.0,41.72053,42.0
36.0,32.186863,32.0
44.0,39.154335,38.0
46.0,25.272604,23.0
33.0,65.44916,143.0
32.0,50.892914,118.0
48.0,12.397581,12.0
11.0,99.90578,139.0
38.0,14.183404,13.0
42.0,37.357548,36.0
20.0,60.058422,59.0
40.0,49.72005,44.0
45.0,32.764355,34.0
35.0,65.25116,62.0
24.0,19.71313,134.00002
31.0,45.44229,116.00001
19.0,91.27158,98.0
25.0,40.42639,40.0
34.0,89.21532,83.0
39.0,29.070251,33.0
18.0,78.76101,126.00001
26.0,41.931625,26.0
16.0,27.851423,108.00001
29.0,110.721924,49.0
21.0,32.45697,105.0
37.0,19.337704,32.0
13.0,73.21387,75.0
17.0,38.81557,138.0
