月份/地点,站点3预测,站点3实际
23.0,15.840897,20.0
47.0,25.80841,22.0
42.0,17.872364,25.0
41.0,15.035889,19.0
16.0,10.603161,12.999999
12.0,6.9590764,19.0
43.0,17.012226,15.000001
25.0,0.9584973,1.0
36.0,14.435278,23.0
30.0,32.7314,33.0
13.0,4.3438683,12.999999
37.0,8.821011,7.0
14.0,3.1926,3.0
26.0,5.5873313,7.0
15.0,7.111518,17.0
22.0,16.728472,17.0
40.0,8.972593,7.0
17.0,6.049881,8.0
46.0,30.467735,34.0
32.0,34.145473,39.0
27.0,11.12422,6.0
33.0,25.924982,24.0
18.0,10.08086,36.0
31.0,34.15391,33.0
20.0,10.779354,11.0
21.0,15.341115,14.0
48.0,18.226768,17.0
38.0,5.2060757,5.0
44.0,20.922623,27.0
11.0,10.2971115,21.0
45.0,22.766268,37.0
34.0,20.24979,16.0
28.0,20.603601,16.0
24.0,10.798554,5.0
35.0,15.654147,25.999998
29.0,24.980715,37.0
19.0,10.4340315,30.000002
39.0,4.16402,6.0
