月份/地点,站点5预测,站点5实际
38.0,33.214584,33.0
18.0,54.42912,59.000004
42.0,35.11458,36.0
22.0,9.646465,11.0
45.0,58.513256,56.000004
16.0,40.30035,44.000004
40.0,38.557648,38.0
44.0,35.63734,73.0
11.0,64.0613,59.000004
30.0,66.19308,74.0
47.0,39.91305,36.0
13.0,48.917446,42.0
41.0,41.62811,47.000004
12.0,63.806705,71.0
39.0,19.175823,20.0
36.0,83.653015,113.0
43.0,31.589083,27.0
31.0,51.362263,87.0
33.0,68.15097,84.0
15.0,31.755934,35.0
14.0,24.079119,22.0
35.0,101.74285,97.0
19.0,51.0668,57.000004
37.0,62.308414,50.0
21.0,15.873227,16.0
23.0,40.18794,50.0
32.0,65.721924,90.0
20.0,26.24011,21.0
24.0,42.882683,145.0
27.0,51.06226,60.000004
28.0,50.033306,45.000004
26.0,56.479404,42.0
25.0,33.586044,45.000004
46.0,39.915657,54.0
29.0,52.251728,66.0
17.0,48.76327,58.000004
34.0,44.44755,96.00001
48.0,51.578865,61.0
